ASN,Organization
9318,SK Broadband
9329,Sri Lanka Telecom
9341,Indonesia Comnets Plus AS9341
9444,PCCW Mobile
9498,Bharti Airtel Limited
9506,Singtel Fibre Broadband
9519,Vertical Telecoms Pty Ltd
9614,OCT
9644,SKTELECOM-NET-AS-KR
9658,Eastern Telecommunications Philippines Inc.
9664,Auk Telecom(SG)
9674,Far EastTone Telecommunication Co. Ltd.
9694,Seokyung Cable Television Company
9781,GCS-AS-KR-KR
9808,China Mobile Communications Group Co. Ltd.
9829,National Internet Backbone India
9848,Sejong Telecom
9873,LAOTELECOM
9908,Hong Kong Cable Television Limited
9924,Taiwan Fixed Network
9931,NT(CAT) Corporate Internet
9934,Mongolia Telecom
9988,Myanma Posts and Telecommunications (MPT)
10002,Igaueno Cable Television Co.Ltd.
10003,Ogaki Cable Television
10094,Unified National Networks
10118,Hutchison Telecommunications Hong Kong Holdings Limited
10131,Telecom Cook Islands
10132,Towngas Telecommunications Fixed Network Limited
10143,Exetel Pty Ltd
10225,Nettlinx
10269,Belize Telemedia
10279,West Carolina Communications
10429,TELEFÔNICA BRASIL AS10429
10430,Washington State K-20 Telecommunications Network
10620,Telmex Colombia S.A.
10821,The Pioneer Telephone Association Inc.
10834,Telefonica Empresas
11014,CPS
11067,PTSINET
11081,United Telecommunication Services UTS
11084,Huron Telecommunications Cooperative
11090,Matanuska Telecom Association
11172,Alestra
11259,Angola Telecom
11272,C Spire Fiber
11367,WORLDNETPR
11432,Telium Telecomunicações Ltda
11722,Westelcom Networks
11727,Bruce Telecom
11814,Distributel Communications Limited
11815,Cooperativa Telefónica de Villa Gobernador Gálvez
11830,ICE (Costa Rica)
11835,NOVA FIBRA TELECOM
11844,EMPRESA CATARINENSE DE TECNOLOGIA EM TEL
11845,Vox Telecom
11888,Televisión Internacional SA de CV AS11888
11915,TelePacific Communications AS11915
11949,COZAD TELEPHONE COMPANY
11961,Mid-Rivers Telephone Cooperative
11992,Liberty Mobile Puerto Rico Inc.
12033,Adams TelSystems Inc.
12150,COTELCAM
12297,TELECOM ARMENIA
12302,Vodafone Romania
12312,ecotel communication ag
12332,PJSC Rostelecom
12334,R Cable y Telecable Telecomunicaciones S.A.U.
12338,EUSKALTEL S.A.
12355,HeLi NET Telekommunikation
12357,COMUNITEL
12360,KEVAG Telekom GmbH
