Network,Report count
91.231.89.0/24,256
147.185.132.0/24,256
147.185.133.0/24,256
194.187.177.0/24,256
216.73.216.0/24,256
213.142.96.0/24,256
213.162.73.0/24,256
118.212.122.0/24,256
118.212.121.0/24,256
41.66.98.0/24,256
38.207.159.0/24,256
212.95.5.0/24,256
85.237.234.0/24,256
41.66.99.0/24,256
46.203.182.0/24,256
2.58.84.0/24,256
82.97.199.0/24,256
8.160.40.0/24,256
82.139.224.0/24,256
154.17.9.0/24,256
154.12.179.0/24,256
205.198.68.0/24,256
151.244.130.0/24,256
151.245.120.0/24,256
151.245.121.0/24,256
151.245.122.0/24,256
151.245.123.0/24,256
151.245.124.0/24,256
151.245.125.0/24,256
151.245.126.0/24,256
151.245.127.0/24,256
178.94.140.0/24,256
178.94.141.0/24,256
178.94.142.0/24,256
178.94.143.0/24,256
185.206.250.0/24,256
202.155.112.0/24,256
202.155.113.0/24,256
202.155.114.0/24,256
202.155.115.0/24,256
202.155.120.0/24,256
202.155.121.0/24,256
202.155.122.0/24,256
202.155.123.0/24,256
202.155.152.0/24,256
202.155.153.0/24,256
202.155.155.0/24,256
217.145.75.0/24,256
5.56.27.0/24,256
23.185.104.0/24,256
31.42.123.0/24,256
31.56.72.0/24,256
31.56.91.0/24,256
31.58.88.0/24,256
31.58.89.0/24,256
45.145.152.0/24,256
46.203.203.0/24,256
82.26.91.0/24,256
82.26.93.0/24,256
92.113.106.0/24,256
38.207.156.0/24,256
154.21.83.0/24,256
154.21.84.0/24,256
154.21.86.0/24,256
154.21.87.0/24,256
154.21.88.0/24,256
154.21.89.0/24,256
38.207.157.0/24,256
154.21.90.0/24,256
154.21.91.0/24,256
154.21.92.0/24,256
154.21.93.0/24,256
154.21.94.0/24,256
154.21.95.0/24,256
154.31.112.0/24,256
154.31.113.0/24,256
38.207.158.0/24,256
154.31.114.0/24,256
154.31.115.0/24,256
31.57.104.0/24,256
205.198.64.0/24,256
205.198.65.0/24,256
5.226.51.0/24,256
154.17.24.0/24,256
38.181.78.0/24,256
154.17.25.0/24,256
154.17.26.0/24,256
154.17.27.0/24,256
154.17.28.0/24,256
154.17.29.0/24,256
154.17.30.0/24,256
154.17.31.0/24,256
154.17.233.0/24,256
38.181.79.0/24,256
154.21.80.0/24,256
154.21.81.0/24,256
154.21.82.0/24,256
38.207.144.0/24,256
38.207.145.0/24,256
38.207.146.0/24,256
