Network,Report count
2001:470:1:c00::/56,392
2001:470:1:f00::/56,276
240e:83:200::/56,256
2001:470:2cc::/56,247
240e:b1:e401::/56,240
2605:340::/56,240
2a01:111:f403:2600::/56,234
2001:470:1:300::/56,220
2408:8726:2000::/56,197
2602:80d:1000::/56,100
2a02:8071:6480:1800::/56,95
2602:80d:1006::/56,93
2604:a880:400::/56,66
2620:96:e000::/56,64
2604:a880:4:100::/56,45
2a03:b0c0:3::/56,42
2a02:8388:1946:3b00::/56,39
2001:861:3607:a800::/56,39
2a06:4880:c000::/56,38
2a06:4880:6000::/56,37
2a06:4880:2000::/56,37
2a06:4880:a000::/56,37
2a03:2880:13ff::/56,37
2a06:4880:4000::/56,37
2001:67c:2660:400::/56,37
2a06:4880:8000::/56,37
2a06:4880::/56,36
2a03:db40::/56,34
2604:a880:800::/56,31
2a03:2880:f800::/56,30
240f:7b:a7d4::/56,30
2a02:26f7:ca8d:4000::/56,29
2a02:26f7:e34c:4000::/56,29
2604:a880:cad::/56,28
2604:a880:2::/56,27
2a02:26f7:e348:4000::/56,27
2a03:2880:11ff::/56,27
2a02:8071:6480:fc00::/56,26
2a02:26f7:ec5c:4000::/56,24
2a05:d01c:b43:8a00::/56,24
2a03:2880:25ff::/56,23
2a02:26f7:bcd0:4000::/56,22
2a02:26f7:e34c:5400::/56,22
2001:b07:5d37:c000::/56,22
2400:6180::/56,22
2604:a940:301:200::/56,21
2604:a940:300:500::/56,21
2600:3c02::/56,21
2a02:26f7:bcd1:4000::/56,21
2604:a940:302:100::/56,20
2a01:cb10:8568:1000::/56,20
2a03:2880:2ff::/56,19
2607:8500:faca::/56,19
2a02:810d:8e80:4b00::/56,19
2a03:2880:3ff::/56,18
2a03:2880:27ff::/56,18
2a02:26f7:bcd1:5e00::/56,18
2a02:26f7:e348:5400::/56,18
2600:1900:0:2d00::/56,18
2001:41d0:303:1700::/56,17
2600:3c00::/56,17
2a01:cb19:8283:500::/56,17
2600:3c01::/56,17
2a03:2880:22ff::/56,17
2a02:26f7:e344:5400::/56,17
2a02:26f7:ec5c:6600::/56,15
2600:3c03::/56,14
2600:1900:4120:ce00::/56,14
2a02:26f7:f8d1:4000::/56,14
2600:1900:4171::/56,13
2003:c7:4f16:9000::/56,13
2001:41d0:403:1f00::/56,12
2401:300::/56,12
2a03:2880:24ff::/56,12
2600:1900:4001:800::/56,12
2a02:26f7:ca88:4000::/56,11
2a00:6020:479d:3400::/56,11
2a02:8388:1a45:3000::/56,11
2a06:4882:b000::/56,11
2600:1900:4020:500::/56,11
2a06:4882:1000::/56,11
2600:1900:0:4300::/56,10
2a01:111:f403:c200::/56,10
2a03:2880:ff::/56,10
2a02:26f7:e344:4000::/56,10
2a06:4883:9000::/56,10
2a03:b0c0:2::/56,10
2a03:2880:21ff::/56,10
2a02:26f7:ef10:4000::/56,10
2001:bc8:1201::/56,9
2003:c7:4f44:7800::/56,9
2a06:4883:b000::/56,9
2a02:26f7:ec44:6600::/56,9
2003:c6:670f:cb00::/56,9
2a03:2880:31ff::/56,9
2a06:5900:411c:2600::/56,9
2600:1900:4041:400::/56,9
