Network,Report count
2001:470:1:f00::/56,555
2001:470:1:c00::/56,553
2001:470:2cc::/56,516
240e:b1:e401::/56,417
2001:470:1:300::/56,335
2a01:111:f403:2600::/56,234
2a02:8071:6480:1800::/56,218
2001:b000:1c0:8000::/56,135
240f:7b:a7d4::/56,123
2a03:db40::/56,114
2602:80d:1000::/56,112
2001:861:3607:a800::/56,103
2602:80d:1006::/56,97
2a02:26f7:ec5c:4000::/56,97
2620:96:e000::/56,96
2001:b000:180:8000::/56,94
2408:8726:2000::/56,83
2a03:2880:f800::/56,77
2a02:26f7:e34c:5400::/56,76
2404:9dc0:cd06::/56,76
2a02:26f7:ca8d:4000::/56,74
2a01:cb10:8568:1000::/56,70
2a02:26f7:e34c:4000::/56,70
2a06:5900:411c:2600::/56,70
240e:83:200::/56,68
2a02:26f7:e348:4000::/56,65
2a02:26f7:ec5c:6600::/56,64
2a02:26f7:e348:5400::/56,60
2a02:8388:1946:3b00::/56,58
2a02:26f7:e344:5400::/56,56
2a03:2880:f804::/56,54
2a02:26f7:bcd0:4000::/56,50
2a02:26f7:bcd1:5e00::/56,46
2a03:2880:25ff::/56,46
2a03:2880:11ff::/56,45
2a02:26f7:ca88:4000::/56,44
2a02:ab88:720d:6000::/56,43
2a03:2880:13ff::/56,42
2a02:26f7:bcd1:4000::/56,42
2a02:26f7:bcc0:5e00::/56,42
2a02:1748:dd4d:1200::/56,41
2a02:26f7:f8d1:4000::/56,40
2a03:b0c0:3::/56,39
2a06:4880:c000::/56,38
2620:0:cc5::/56,38
2607:8500:faca::/56,38
2a06:4880:a000::/56,37
2a06:4880:4000::/56,37
2a03:2880:ff::/56,37
2a06:4880:6000::/56,37
2a06:4880:2000::/56,37
2a06:4880:8000::/56,37
2a06:4880::/56,36
2602:80d:1004::/56,36
2a03:2880:21ff::/56,35
2a05:d018:a5f:9100::/56,35
2a03:2880:f814::/56,35
2a02:26f7:bcd0:5e00::/56,34
2a02:26f7:fb04:4100::/56,34
2001:861:e3c4:f400::/56,33
2a03:2880:22ff::/56,32
2a03:2880:24ff::/56,32
2a03:2880:10ff::/56,32
2a02:26f7:e344:4000::/56,32
2602:80d:1003::/56,32
2a02:1210:2642:bb00::/56,31
2a02:26f7:bcc0:4000::/56,31
2604:a880:4:100::/56,30
2a02:26f7:fb02:4100::/56,29
2a02:810d:8e80:4b00::/56,29
2a02:26f7:ec40:4000::/56,28
2a03:2880:3ff::/56,27
2a00:6020:4954:8300::/56,27
2a01:cb19:8283:500::/56,27
2a02:8388:1a45:3000::/56,27
2a03:2880:31ff::/56,26
2a03:2880:18ff::/56,26
2a06:4883:b000::/56,26
2a03:2880:27ff::/56,25
2400:cb00:557:1000::/56,25
2620:0:ccb::/56,25
2600:1900:0:2d00::/56,25
2001:1890:200::/56,25
2a02:26f7:c9d0:4000::/56,24
2a05:5a00:808:bb00::/56,24
2a06:4883:3000::/56,24
2a05:d01c:b43:8a00::/56,24
2a02:26f7:c9d0:6500::/56,24
2a02:26f7:bcc8:4000::/56,24
2a02:26f7:ec48:4000::/56,24
2a03:2880:7ff::/56,24
2a03:2880:2ff::/56,23
2a03:2880:16ff::/56,23
2a04:ee41:84:c200::/56,23
2a02:26f7:ec44:6600::/56,23
2604:a880:400::/56,23
2604:a880:800::/56,23
2a00:1028:83ba:7900::/56,23
2a01:e0a:174:5000::/56,22
2003:c6:3f0f:7b00::/56,22
